Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
DATA 101,,,,,1,BSC-O,1,3,
CHEM 111,,82,A-,,,BSC-O,1,3,
STAT 303,,77,B+,,,BSC-O,3,3,
MATH 319,,81,A-,,,BSC-O,3,3,
COSC 121,,77,B+,,,BSC-O,1,3,
PHYS 418,,,,,,BSC-O,4,3,
MATH 100,,76,B+,,,BSC-O,1,3,
MATH 101,,85,A,,,BSC-O,1,3,
PHYS 215,,83,A-,,,BSC-O,2,3,
MATH 200,,85,A,,,BSC-O,2,3,
PHYS 216,,76,B+,,,BSC-O,2,3,
PHYS 112,,89,A,,,BSC-O,1,3,
PHYS 231,,89,A,,,BSC-O,2,3,
PHYS 111,,74,B,,,BSC-O,1,3,
PHYS 232,,88,A,,,BSC-O,2,3,
CHEM 123,,77,B+,,,BSC-O,1,3,
CHEM 121,,81,A-,,,BSC-O,1,3,
MATH 327,,83,A-,,,BSC-O,3,3,
MATH 307,,75,B,,,BSC-O,3,3,
COSC 111,,77,B+,,,BSC-O,1,3,
MATH 215,,82,A-,,,BSC-O,2,3,
MATH 216,,76,B+,,,BSC-O,2,3,
MATH 231,,74,B,,,BSC-O,2,3,
MATH 232,,88,A,,,BSC-O,2,3,
PHYS 328,,75,B,,,BSC-O,3,3,
PHYS 402,,,,,,BSC-O,4,3,
PHYS 304,,79,B+,,,BSC-O,3,3,
MATH 311,,81,A-,,,BSC-O,3,3,
PHYS 301,,77,B+,,,BSC-O,3,3,
PHYS 401,,,,,,BSC-O,4,3,
CHEM 113,,87,A,,,BSC-O,1,3,
PHYS 200,,79,B+,,,BSC-O,2,3,
PHYS 121,,82,A-,,,BSC-O,1,3,
PHYS 122,,86,A,,,BSC-O,1,3,
