Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
CHEM 111,,70,B-,,,BSC-O,1,3,
STAT 406,,,,,1,BSC-O,4,3,
STAT 403,,,,,1,BSC-O,4,3,
STAT 303,,74,B,,,BSC-O,3,3,
MATH 319,,72,B,,,BSC-O,3,3,
COSC 121,,75,B,,,BSC-O,1,3,
COSC 221,,,,,1,BSC-O,2,3,
PHYS 418,,73,B,,,BSC-O,4,3,
MATH 100,,71,B-,,,BSC-O,1,3,
MATH 101,,82,A-,,,BSC-O,1,3,
PHYS 215,,70,B-,,,BSC-O,2,3,
MATH 200,,75,B,,,BSC-O,2,3,
PHYS 216,,68,B-,,,BSC-O,2,3,
PHYS 112,,75,B,,,BSC-O,1,3,
PHYS 231,,74,B,,,BSC-O,2,3,
PHYS 111,,72,B,,,BSC-O,1,3,
PHYS 232,,76,B+,,,BSC-O,2,3,
DATA 311,,,,,1,BSC-O,3,3,
CHEM 123,,70,B-,,,BSC-O,1,3,
CHEM 121,,81,A-,,,BSC-O,1,3,
MATH 327,,79,B+,,,BSC-O,3,3,
MATH 307,,69,B-,,,BSC-O,3,3,
COSC 111,,67,C+,,,BSC-O,1,3,
MATH 215,,75,B,,,BSC-O,2,3,
MATH 216,,72,B,,,BSC-O,2,3,
MATH 231,,71,B-,,,BSC-O,2,3,
MATH 232,,71,B-,,,BSC-O,2,3,
PHYS 328,,77,B+,,,BSC-O,3,3,
PHYS 402,,70,B-,,,BSC-O,4,3,
PHYS 304,,74,B,,,BSC-O,3,3,
MATH 311,,77,B+,,,BSC-O,3,3,
PHYS 301,,80,A-,,,BSC-O,3,3,
PHYS 401,,80,A-,,,BSC-O,4,3,
CHEM 113,,74,B,,,BSC-O,1,3,
PHYS 200,,79,B+,,,BSC-O,2,3,
PHYS 121,,76,B+,,,BSC-O,1,3,
PHYS 122,,77,B+,,,BSC-O,1,3,
