Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
DATA 301,,58,C-,,,BSC-O,3,3,
DATA 421,,60,C,,,BSC-O,4,3,
DATA 101,,60,C,,,BSC-O,1,3,
CHEM 111,,65,C+,,,BSC-O,1,3,
COSC 305,,,,,1,BSC-O,3,3,
COSC 301,,,,,1,BSC-O,3,3,
STAT 303,,73,B,,,BSC-O,3,3,
COSC 303,,59,C-,,,BSC-O,3,3,
COSC 304,,63,C,,,BSC-O,3,3,
COSC 341,,,,,1,BSC-O,3,3,
MATH 303,,70,B-,,,BSC-O,3,3,
MATH 100,,69,B-,,,BSC-O,1,3,
MATH 221,,59,C-,,,BSC-O,2,3,
MATH 101,,61,C,,,BSC-O,1,3,
MATH 200,,71,B-,,,BSC-O,2,3,
PHYS 112,,61,C,,,BSC-O,1,3,
PHYS 111,,69,B-,,,BSC-O,1,3,
DATA 315,,61,C,,,BSC-O,3,3,
DATA 311,,70,B-,,,BSC-O,3,3,
DATA 410,,66,C+,,,BSC-O,4,3,
STAT 230,,61,C,,,BSC-O,2,3,
CHEM 123,,63,C,,,BSC-O,1,3,
CHEM 121,,69,B-,,,BSC-O,1,3,
MATH 307,,60,C,,,BSC-O,3,3,
COSC 111,,60,C,,,BSC-O,1,3,
PHYS 403,,,,,1,BSC-O,4,3,
CHEM 113,,71,B-,,,BSC-O,1,3,
DATA 407,,64,C+,,,BSC-O,4,3,
PHYS 420,,65,C+,,,BSC-O,4,3,
PHYS 121,,58,C-,,,BSC-O,1,3,
DATA 405,,71,B-,,,BSC-O,4,3,
PHYS 122,,61,C,,,BSC-O,1,3,
