Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 121,,,,,1,BSC-O,1,3,
CHEM 111,,76,B+,,,BSC-O,1,3,
STAT 406,,,,,1,BSC-O,4,3,
COSC 301,,72,B,,,BSC-O,3,3,
STAT 303,,71,B-,,,BSC-O,3,3,
MATH 319,,81,A-,,,BSC-O,3,3,
COSC 121,,80,A-,,,BSC-O,1,3,
COSC 122,,,,,1,BSC-O,1,3,
PHYS 418,,84,A-,,,BSC-O,4,3,
MATH 100,,82,A-,,,BSC-O,1,3,
MATH 101,,85,A,,,BSC-O,1,3,
PHYS 215,,80,A-,,,BSC-O,2,3,
MATH 200,,81,A-,,,BSC-O,2,3,
PHYS 216,,81,A-,,,BSC-O,2,3,
PHYS 112,,72,B,,,BSC-O,1,3,
PHYS 231,,79,B+,,,BSC-O,2,3,
PHYS 111,,75,B,,,BSC-O,1,3,
PHYS 232,,80,A-,,,BSC-O,2,3,
PHYS 331,,86,A,,,BSC-O,3,3,
DATA 311,,,,,1,BSC-O,3,3,
CHEM 123,,77,B+,,,BSC-O,1,3,
CHEM 121,,85,A,,,BSC-O,1,3,
MATH 327,,74,B,,,BSC-O,3,3,
MATH 307,,79,B+,,,BSC-O,3,3,
COSC 111,,75,B,,,BSC-O,1,3,
MATH 215,,78,B+,,,BSC-O,2,3,
MATH 216,,83,A-,,,BSC-O,2,3,
MATH 231,,82,A-,,,BSC-O,2,3,
MATH 232,,84,A-,,,BSC-O,2,3,
PHYS 328,,74,B,,,BSC-O,3,3,
PHYS 402,,85,A,,,BSC-O,4,3,
PHYS 304,,78,B+,,,BSC-O,3,3,
MATH 311,,81,A-,,,BSC-O,3,3,
PHYS 301,,74,B,,,BSC-O,3,3,
PHYS 401,,84,A-,,,BSC-O,4,3,
CHEM 113,,77,B+,,,BSC-O,1,3,
PHYS 200,,74,B,,,BSC-O,2,3,
PHYS 121,,73,B,,,BSC-O,1,3,
PHYS 122,,72,B,,,BSC-O,1,3,
