Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
CHEM 111,,76,B+,,,BSC-O,1,3,
COSC 301,,67,C+,,,BSC-O,3,3,
STAT 303,,66,C+,,,BSC-O,3,3,
MATH 319,,75,B,,,BSC-O,3,3,
COSC 121,,74,B,,,BSC-O,1,3,
COSC 122,,,,,1,BSC-O,1,3,
PHYS 418,,,,,,BSC-O,4,3,
MATH 100,,76,B+,,,BSC-O,1,3,
MATH 101,,74,B,,,BSC-O,1,3,
PHYS 215,,75,B,,,BSC-O,2,3,
MATH 200,,70,B-,,,BSC-O,2,3,
PHYS 216,,69,B-,,,BSC-O,2,3,
PHYS 112,,64,C+,,,BSC-O,1,3,
PHYS 231,,76,B+,,,BSC-O,2,3,
PHYS 111,,77,B+,,,BSC-O,1,3,
PHYS 232,,69,B-,,,BSC-O,2,3,
CHEM 123,,65,C+,,,BSC-O,1,3,
CHEM 121,,67,C+,,,BSC-O,1,3,
MATH 327,,67,C+,,,BSC-O,3,3,
MATH 307,,68,B-,,,BSC-O,3,3,
COSC 111,,78,B+,,,BSC-O,1,3,
MATH 215,,76,B+,,,BSC-O,2,3,
COSC 310,,70,B-,,,BSC-O,3,3,
MATH 216,,75,B,,,BSC-O,2,3,
MATH 231,,76,B+,,,BSC-O,2,3,
MATH 232,,69,B-,,,BSC-O,2,3,
PHYS 328,,66,C+,,,BSC-O,3,3,
PHYS 402,,,,,,BSC-O,4,3,
PHYS 304,,64,C+,,,BSC-O,3,3,
MATH 311,,79,B+,,,BSC-O,3,3,
PHYS 301,,74,B,,,BSC-O,3,3,
PHYS 401,,,,,,BSC-O,4,3,
CHEM 113,,79,B+,,,BSC-O,1,3,
PHYS 200,,74,B,,,BSC-O,2,3,
PHYS 121,,76,B+,,,BSC-O,1,3,
PHYS 122,,77,B+,,,BSC-O,1,3,
