Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 124,,,,,1,BSC-O,1,3,
CHEM 111,,96,A+,,,BSC-O,1,3,
COSC 301,,96,A+,,,BSC-O,3,3,
STAT 303,,97,A+,,,BSC-O,3,3,
MATH 319,,85,A,,,BSC-O,3,3,
COSC 121,,88,A,,,BSC-O,1,3,
PHYS 418,,,,,,BSC-O,4,3,
MATH 100,,92,A+,,,BSC-O,1,3,
MATH 101,,86,A,,,BSC-O,1,3,
PHYS 215,,89,A,,,BSC-O,2,3,
MATH 200,,91,A+,,,BSC-O,2,3,
PHYS 216,,85,A,,,BSC-O,2,3,
PHYS 112,,90,A+,,,BSC-O,1,3,
PHYS 231,,98,A+,,,BSC-O,2,3,
PHYS 111,,93,A+,,,BSC-O,1,3,
PHYS 232,,98,A+,,,BSC-O,2,3,
CHEM 123,,97,A+,,,BSC-O,1,3,
CHEM 121,,98,A+,,,BSC-O,1,3,
MATH 327,,97,A+,,,BSC-O,3,3,
MATH 307,,96,A+,,,BSC-O,3,3,
COSC 111,,89,A,,,BSC-O,1,3,
MATH 215,,91,A+,,,BSC-O,2,3,
MATH 216,,97,A+,,,BSC-O,2,3,
MATH 231,,90,A+,,,BSC-O,2,3,
MATH 232,,97,A+,,,BSC-O,2,3,
PHYS 328,,91,A+,,,BSC-O,3,3,
PHYS 402,,,,,,BSC-O,4,3,
PHYS 304,,85,A,,,BSC-O,3,3,
MATH 311,,85,A,,,BSC-O,3,3,
PHYS 301,,98,A+,,,BSC-O,3,3,
PHYS 401,,,,,,BSC-O,4,3,
CHEM 113,,89,A,,,BSC-O,1,3,
PHYS 200,,93,A+,,,BSC-O,2,3,
PHYS 121,,96,A+,,,BSC-O,1,3,
PHYS 122,,90,A+,,,BSC-O,1,3,
