Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
COSC 449,,,,,,BSC-O,4,3,
COSC 301,,70,B-,,,BSC-O,3,3,
STAT 303,,,,,1,BSC-O,3,3,
COSC 304,,81,A-,,,BSC-O,3,3,
COSC 121,,70,B-,,,BSC-O,1,3,
COSC 341,,78,B+,,,BSC-O,3,3,
COSC 221,,73,B,,,BSC-O,2,3,
COSC 320,,85,A,,,BSC-O,3,3,
COSC 122,,,,,1,BSC-O,1,3,
COSC 123,,82,A-,,,BSC-O,1,3,
COSC 222,,74,B,,,BSC-O,2,3,
MATH 100,,70,B-,,,BSC-O,1,3,
MATH 221,,82,A-,,,BSC-O,2,3,
MATH 101,,84,A-,,,BSC-O,1,3,
PHYS 112,,81,A-,,,BSC-O,1,3,
PHYS 231,,78,B+,,,BSC-O,2,3,
PHYS 111,,75,B,,,BSC-O,1,3,
PHIL 331,,,,,,BSC-O,4,3,
DATA 311,,70,B-,,,BSC-O,3,3,
STAT 230,,75,B,,,BSC-O,2,3,
COSC 111,,83,A-,,,BSC-O,1,3,
COSC 211,,85,A,,,BSC-O,2,3,
COSC 310,,81,A-,,,BSC-O,3,3,
PHYS 304,,77,B+,,,BSC-O,3,3,
PHYS 200,,70,B-,,,BSC-O,2,3,
