Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
DATA 301,,76,B+,,,BSC-O,3,3,
STAT 124,,,,,1,BSC-O,1,3,
DATA 421,,74,B,,,BSC-O,4,3,
DATA 101,,85,A,,,BSC-O,1,3,
CHEM 111,,81,A-,,,BSC-O,1,3,
STAT 303,,85,A,,,BSC-O,3,3,
COSC 303,,74,B,,,BSC-O,3,3,
COSC 304,,78,B+,,,BSC-O,3,3,
MATH 303,,83,A-,,,BSC-O,3,3,
COSC 344,,,,,1,BSC-O,3,3,
MATH 100,,82,A-,,,BSC-O,1,3,
MATH 221,,86,A,,,BSC-O,2,3,
MATH 101,,78,B+,,,BSC-O,1,3,
MATH 200,,72,B,,,BSC-O,2,3,
PHYS 112,,79,B+,,,BSC-O,1,3,
PHYS 111,,75,B,,,BSC-O,1,3,
DATA 315,,76,B+,,,BSC-O,3,3,
DATA 311,,85,A,,,BSC-O,3,3,
DATA 410,,79,B+,,,BSC-O,4,3,
STAT 230,,78,B+,,,BSC-O,2,3,
CHEM 123,,81,A-,,,BSC-O,1,3,
CHEM 121,,75,B,,,BSC-O,1,3,
MATH 307,,83,A-,,,BSC-O,3,3,
COSC 111,,84,A-,,,BSC-O,1,3,
PHYS 304,,,,,1,BSC-O,3,3,
PHYS 225,,,,,1,BSC-O,2,3,
CHEM 113,,87,A,,,BSC-O,1,3,
DATA 407,,74,B,,,BSC-O,4,3,
PHYS 420,,83,A-,,,BSC-O,4,3,
PHYS 121,,73,B,,,BSC-O,1,3,
DATA 405,,81,A-,,,BSC-O,4,3,
PHYS 122,,80,A-,,,BSC-O,1,3,
