Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
DATA 301,,66,C+,,,BSC-O,3,3,
STAT 121,,63,C,,,BSC-O,1,3,
DATA 101,,57,C-,,,BSC-O,1,3,
COSC 305,,64,C+,,,BSC-O,3,3,
COSC 301,,60,C,,,BSC-O,3,3,
STAT 303,,63,C,,,BSC-O,3,3,
COSC 304,,61,C,,,BSC-O,3,3,
COSC 121,,56,C-,,,BSC-O,1,3,
COSC 341,,65,C+,,,BSC-O,3,3,
COSC 221,,60,C,,,BSC-O,2,3,
COSC 122,,58,C-,,,BSC-O,1,3,
COSC 222,,67,C+,,,BSC-O,2,3,
COSC 344,,60,C,,,BSC-O,3,3,
MATH 100,,63,C,,,BSC-O,1,3,
MATH 221,,64,C+,,,BSC-O,2,3,
MATH 101,,60,C,,,BSC-O,1,3,
MATH 200,,68,B-,,,BSC-O,2,3,
PHYS 112,,69,B-,,,BSC-O,1,3,
PHYS 111,,57,C-,,,BSC-O,1,3,
DATA 311,,66,C+,,,BSC-O,3,3,
PHIL 331,,62,C,,,BSC-O,3,3,
STAT 230,,62,C,,,BSC-O,2,3,
COSC 111,,60,C,,,BSC-O,1,3,
COSC 310,,69,B-,,,BSC-O,3,3,
PHYS 304,,,,,1,BSC-O,3,3,
PHYS 403,,,,,1,BSC-O,4,3,
PHYS 301,,,,,1,BSC-O,3,3,
PHYS 225,,,,,1,BSC-O,2,3,
PHYS 121,,59,C-,,,BSC-O,1,3,
PHYS 122,,64,C+,,,BSC-O,1,3,
