Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 230,,90,A+,,,BSC-O,2,3,
COSC 304,,,,,,BSC-O,3,3,
COSC 121,,95,A+,,,BSC-O,1,3,
COSC 341,,,,,,BSC-O,3,3,
COSC 111,,88,A,,,BSC-O,1,3,
COSC 221,,100,A+,,,BSC-O,2,3,
COSC 320,,,,,,BSC-O,3,3,
COSC 122,,100,A+,,,BSC-O,1,3,
COSC 123,,92,A+,,,BSC-O,1,3,
COSC 211,,93,A+,,,BSC-O,2,3,
COSC 222,,88,A,,,BSC-O,2,3,
COSC 310,,,,,,BSC-O,3,3,
MATH 100,,93,A+,,,BSC-O,1,3,
MATH 221,,97,A+,,,BSC-O,2,3,
MATH 101,,100,A+,,,BSC-O,1,3,
PHYS 225,,95,A+,,,BSC-O,2,3,
PHYS 112,,100,A+,,,BSC-O,1,3,
PHYS 200,,94,A+,,,BSC-O,2,3,
PHYS 231,,92,A+,,,BSC-O,2,3,
PHYS 111,,100,A+,,,BSC-O,1,3,
