Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
DATA 101,,76,B+,,,BSC-O,1,3,
STAT 230,,88,A,,,BSC-O,2,3,
COSC 304,,,,,,BSC-O,3,3,
COSC 121,,81,A-,,,BSC-O,1,3,
COSC 341,,,,,,BSC-O,3,3,
COSC 111,,88,A,,,BSC-O,1,3,
COSC 221,,86,A,,,BSC-O,2,3,
COSC 320,,,,,,BSC-O,3,3,
COSC 122,,84,A-,,,BSC-O,1,3,
COSC 123,,86,A,,,BSC-O,1,3,
COSC 211,,78,B+,,,BSC-O,2,3,
COSC 222,,82,A-,,,BSC-O,2,3,
COSC 310,,,,,,BSC-O,3,3,
MATH 100,,88,A,,,BSC-O,1,3,
MATH 221,,91,A+,,,BSC-O,2,3,
MATH 101,,89,A,,,BSC-O,1,3,
PHYS 225,,78,B+,,,BSC-O,2,3,
PHYS 112,,85,A,,,BSC-O,1,3,
PHYS 200,,79,B+,,,BSC-O,2,3,
PHYS 231,,85,A,,,BSC-O,2,3,
PHYS 111,,86,A,,,BSC-O,1,3,
