Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
DATA 101,,90,A+,,,BSC-O,1,3,
STAT 230,,82,A-,,,BSC-O,2,3,
COSC 304,,,,,,BSC-O,3,3,
COSC 121,,79,B+,,,BSC-O,1,3,
COSC 341,,,,,,BSC-O,3,3,
COSC 111,,85,A,,,BSC-O,1,3,
COSC 221,,83,A-,,,BSC-O,2,3,
COSC 320,,,,,,BSC-O,3,3,
COSC 122,,86,A,,,BSC-O,1,3,
COSC 123,,90,A+,,,BSC-O,1,3,
COSC 211,,77,B+,,,BSC-O,2,3,
COSC 222,,83,A-,,,BSC-O,2,3,
COSC 310,,,,,,BSC-O,3,3,
MATH 100,,86,A,,,BSC-O,1,3,
MATH 221,,81,A-,,,BSC-O,2,3,
MATH 101,,81,A-,,,BSC-O,1,3,
PHYS 225,,78,B+,,,BSC-O,2,3,
PHYS 112,,88,A,,,BSC-O,1,3,
PHYS 200,,81,A-,,,BSC-O,2,3,
PHYS 231,,91,A+,,,BSC-O,2,3,
PHYS 111,,82,A-,,,BSC-O,1,3,
