Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 124,,,,,1,BSC-O,1,3,
CHEM 111,,78,B+,,,BSC-O,1,3,
COSC 301,,70,B-,,,BSC-O,3,3,
STAT 303,,70,B-,,,BSC-O,3,3,
MATH 319,,77,B+,,,BSC-O,3,3,
COSC 121,,69,B-,,,BSC-O,1,3,
PHYS 418,,,,,,BSC-O,4,3,
MATH 100,,79,B+,,,BSC-O,1,3,
MATH 101,,83,A-,,,BSC-O,1,3,
PHYS 215,,71,B-,,,BSC-O,2,3,
MATH 200,,75,B,,,BSC-O,2,3,
PHYS 216,,82,A-,,,BSC-O,2,3,
PHYS 112,,73,B,,,BSC-O,1,3,
PHYS 231,,73,B,,,BSC-O,2,3,
PHYS 111,,83,A-,,,BSC-O,1,3,
PHYS 232,,81,A-,,,BSC-O,2,3,
CHEM 123,,70,B-,,,BSC-O,1,3,
CHEM 121,,68,B-,,,BSC-O,1,3,
MATH 327,,75,B,,,BSC-O,3,3,
MATH 307,,71,B-,,,BSC-O,3,3,
COSC 111,,82,A-,,,BSC-O,1,3,
MATH 215,,77,B+,,,BSC-O,2,3,
COSC 310,,71,B-,,,BSC-O,3,3,
MATH 216,,81,A-,,,BSC-O,2,3,
MATH 231,,79,B+,,,BSC-O,2,3,
MATH 232,,72,B,,,BSC-O,2,3,
PHYS 328,,68,B-,,,BSC-O,3,3,
PHYS 402,,,,,,BSC-O,4,3,
PHYS 304,,75,B,,,BSC-O,3,3,
MATH 311,,83,A-,,,BSC-O,3,3,
PHYS 301,,83,A-,,,BSC-O,3,3,
PHYS 401,,,,,,BSC-O,4,3,
CHEM 113,,71,B-,,,BSC-O,1,3,
PHYS 200,,80,A-,,,BSC-O,2,3,
PHYS 121,,70,B-,,,BSC-O,1,3,
PHYS 122,,76,B+,,,BSC-O,1,3,
