Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
DATA 301,,,,,,BSC-O,3,3,
DATA 311,,,,,,BSC-O,3,3,
PHIL 331,,,,,,BSC-O,3,3,
DATA 101,,81,A-,,,BSC-O,1,3,
STAT 230,,72,B,,,BSC-O,2,3,
STAT 303,,,,,,BSC-O,3,3,
COSC 304,,,,,,BSC-O,3,3,
COSC 121,,84,A-,,,BSC-O,1,3,
COSC 111,,74,B,,,BSC-O,1,3,
COSC 221,,77,B+,,,BSC-O,2,3,
COSC 122,,83,A-,,,BSC-O,1,3,
COSC 222,,73,B,,,BSC-O,2,3,
MATH 100,,86,A,,,BSC-O,1,3,
MATH 221,,72,B,,,BSC-O,2,3,
MATH 101,,76,B+,,,BSC-O,1,3,
MATH 200,,72,B,,,BSC-O,2,3,
PHYS 112,,86,A,,,BSC-O,1,3,
PHYS 121,,79,B+,,,BSC-O,1,3,
PHYS 111,,79,B+,,,BSC-O,1,3,
PHYS 122,,80,A-,,,BSC-O,1,3,
