Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 121,,,,,1,BSC-O,1,3,
DATA 101,,80,A-,,,BSC-O,1,3,
COSC 305,,84,A-,,,BSC-O,3,3,
COSC 449,,78,B+,,,BSC-O,4,3,
STAT 406,,,,,1,BSC-O,4,3,
STAT 403,,,,,1,BSC-O,4,3,
COSC 301,,80,A-,,,BSC-O,3,3,
STAT 303,,,,,1,BSC-O,3,3,
COSC 304,,89,A,,,BSC-O,3,3,
COSC 121,,82,A-,,,BSC-O,1,3,
COSC 341,,79,B+,,,BSC-O,3,3,
COSC 221,,89,A,,,BSC-O,2,3,
COSC 320,,75,B,,,BSC-O,3,3,
COSC 122,,82,A-,,,BSC-O,1,3,
COSC 123,,77,B+,,,BSC-O,1,3,
COSC 222,,83,A-,,,BSC-O,2,3,
COSC 344,,86,A,,,BSC-O,3,3,
MATH 100,,74,B,,,BSC-O,1,3,
MATH 221,,84,A-,,,BSC-O,2,3,
MATH 101,,77,B+,,,BSC-O,1,3,
PHYS 112,,82,A-,,,BSC-O,1,3,
PHYS 231,,77,B+,,,BSC-O,2,3,
PHYS 111,,79,B+,,,BSC-O,1,3,
PHYS 331,,82,A-,,,BSC-O,3,3,
PHIL 331,,85,A,,,BSC-O,4,3,
STAT 230,,75,B,,,BSC-O,2,3,
COSC 111,,76,B+,,,BSC-O,1,3,
COSC 211,,78,B+,,,BSC-O,2,3,
COSC 310,,87,A,,,BSC-O,3,3,
PHYS 304,,77,B+,,,BSC-O,3,3,
PHYS 301,,84,A-,,,BSC-O,3,3,
PHYS 324,,83,A-,,,BSC-O,3,3,
PHYS 225,,78,B+,,,BSC-O,2,3,
PHYS 200,,80,A-,,,BSC-O,2,3,
