Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 121,,,,,1,BSC-O,1,3,
CHEM 111,,54,D,,,BSC-O,1,3,
STAT 303,,57,C-,,,BSC-O,3,3,
MATH 319,,60,C,,,BSC-O,3,3,
COSC 121,,64,C+,,,BSC-O,1,3,
PHYS 418,,,,,,BSC-O,4,3,
MATH 100,,60,C,,,BSC-O,1,3,
MATH 101,,55,C-,,,BSC-O,1,3,
PHYS 215,,57,C-,,,BSC-O,2,3,
MATH 200,,59,C-,,,BSC-O,2,3,
PHYS 216,,65,C+,,,BSC-O,2,3,
PHYS 112,,61,C,,,BSC-O,1,3,
PHYS 231,,56,C-,,,BSC-O,2,3,
PHYS 111,,61,C,,,BSC-O,1,3,
PHYS 232,,56,C-,,,BSC-O,2,3,
CHEM 123,,59,C-,,,BSC-O,1,3,
CHEM 121,,65,C+,,,BSC-O,1,3,
MATH 327,,58,C-,,,BSC-O,3,3,
MATH 307,,54,D,,,BSC-O,3,3,
COSC 111,,57,C-,,,BSC-O,1,3,
MATH 215,,64,C+,,,BSC-O,2,3,
MATH 216,,68,B-,,,BSC-O,2,3,
MATH 231,,63,C,,,BSC-O,2,3,
MATH 232,,68,B-,,,BSC-O,2,3,
PHYS 328,,64,C+,,,BSC-O,3,3,
PHYS 402,,,,,,BSC-O,4,3,
PHYS 304,,65,C+,,,BSC-O,3,3,
MATH 311,,60,C,,,BSC-O,3,3,
PHYS 301,,58,C-,,,BSC-O,3,3,
PHYS 401,,,,,,BSC-O,4,3,
CHEM 113,,58,C-,,,BSC-O,1,3,
PHYS 200,,58,C-,,,BSC-O,2,3,
PHYS 121,,66,C+,,,BSC-O,1,3,
PHYS 122,,68,B-,,,BSC-O,1,3,
