Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
DATA 301,,89,A,,,BSC-O,3,3,
DATA 311,,86,A,,,BSC-O,3,3,
PHIL 331,,87,A,,,BSC-O,3,3,
STAT 121,,,,,1,BSC-O,1,3,
STAT 230,,89,A,,,BSC-O,2,3,
COSC 301,,80,A-,,,BSC-O,3,3,
STAT 303,,80,A-,,,BSC-O,3,3,
COSC 304,,78,B+,,,BSC-O,3,3,
COSC 121,,80,A-,,,BSC-O,1,3,
COSC 111,,75,B,,,BSC-O,1,3,
COSC 221,,88,A,,,BSC-O,2,3,
COSC 222,,76,B+,,,BSC-O,2,3,
COSC 310,,82,A-,,,BSC-O,3,3,
MATH 100,,88,A,,,BSC-O,1,3,
MATH 221,,81,A-,,,BSC-O,2,3,
MATH 101,,81,A-,,,BSC-O,1,3,
MATH 200,,86,A,,,BSC-O,2,3,
PHYS 304,,,,,1,BSC-O,3,3,
PHYS 301,,,,,1,BSC-O,3,3,
PHYS 225,,,,,1,BSC-O,2,3,
PHYS 112,,79,B+,,,BSC-O,1,3,
PHYS 121,,88,A,,,BSC-O,1,3,
PHYS 111,,80,A-,,,BSC-O,1,3,
PHYS 122,,76,B+,,,BSC-O,1,3,
