Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 124,,,,,1,BSC-O,1,3,
STAT 121,,,,,1,BSC-O,1,3,
DATA 101,,,,,1,BSC-O,1,3,
COSC 449,,69,B-,,,BSC-O,4,3,
STAT 303,,,,,1,BSC-O,3,3,
COSC 304,,69,B-,,,BSC-O,3,3,
COSC 121,,67,C+,,,BSC-O,1,3,
COSC 341,,80,A-,,,BSC-O,3,3,
COSC 221,,66,C+,,,BSC-O,2,3,
COSC 320,,73,B,,,BSC-O,3,3,
COSC 123,,81,A-,,,BSC-O,1,3,
COSC 222,,70,B-,,,BSC-O,2,3,
MATH 100,,68,B-,,,BSC-O,1,3,
MATH 221,,70,B-,,,BSC-O,2,3,
MATH 101,,72,B,,,BSC-O,1,3,
PHYS 112,,72,B,,,BSC-O,1,3,
PHYS 231,,74,B,,,BSC-O,2,3,
PHYS 111,,73,B,,,BSC-O,1,3,
PHIL 331,,71,B-,,,BSC-O,4,3,
DATA 311,,74,B,,,BSC-O,3,3,
STAT 230,,68,B-,,,BSC-O,2,3,
COSC 111,,69,B-,,,BSC-O,1,3,
COSC 211,,79,B+,,,BSC-O,2,3,
COSC 310,,79,B+,,,BSC-O,3,3,
PHYS 304,,69,B-,,,BSC-O,3,3,
PHYS 225,,80,A-,,,BSC-O,2,3,
PHYS 324,,74,B,,,BSC-O,3,3,
