Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 124,,,,,1,BSC-O,1,3,
STAT 121,,,,,1,BSC-O,1,3,
DATA 101,,81,A-,,,BSC-O,1,3,
COSC 305,,82,A-,,,BSC-O,3,3,
COSC 449,,,,,,BSC-O,4,3,
COSC 301,,71,B-,,,BSC-O,3,3,
COSC 304,,72,B,,,BSC-O,3,3,
COSC 121,,81,A-,,,BSC-O,1,3,
COSC 341,,72,B,,,BSC-O,3,3,
COSC 221,,71,B-,,,BSC-O,2,3,
COSC 320,,77,B+,,,BSC-O,3,3,
COSC 122,,78,B+,,,BSC-O,1,3,
COSC 123,,69,B-,,,BSC-O,1,3,
COSC 222,,77,B+,,,BSC-O,2,3,
COSC 344,,79,B+,,,BSC-O,3,3,
MATH 100,,75,B,,,BSC-O,1,3,
MATH 221,,78,B+,,,BSC-O,2,3,
MATH 101,,68,B-,,,BSC-O,1,3,
PHYS 112,,82,A-,,,BSC-O,1,3,
PHYS 231,,82,A-,,,BSC-O,2,3,
PHYS 111,,69,B-,,,BSC-O,1,3,
PHYS 331,,80,A-,,,BSC-O,3,3,
PHIL 331,,,,,,BSC-O,4,3,
DATA 311,,75,B,,,BSC-O,3,3,
STAT 230,,75,B,,,BSC-O,2,3,
COSC 111,,68,B-,,,BSC-O,1,3,
COSC 211,,79,B+,,,BSC-O,2,3,
COSC 310,,69,B-,,,BSC-O,3,3,
PHYS 301,,71,B-,,,BSC-O,3,3,
PHYS 324,,70,B-,,,BSC-O,3,3,
PHYS 225,,79,B+,,,BSC-O,2,3,
PHYS 200,,80,A-,,,BSC-O,2,3,
