Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 121,,,,,1,BSC-O,1,3,
DATA 101,,71,B-,,,BSC-O,1,3,
COSC 305,,72,B,,,BSC-O,3,3,
COSC 449,,,,,,BSC-O,4,3,
COSC 304,,68,B-,,,BSC-O,3,3,
COSC 121,,70,B-,,,BSC-O,1,3,
COSC 341,,77,B+,,,BSC-O,3,3,
COSC 221,,70,B-,,,BSC-O,2,3,
COSC 320,,64,C+,,,BSC-O,3,3,
COSC 123,,72,B,,,BSC-O,1,3,
COSC 222,,79,B+,,,BSC-O,2,3,
COSC 344,,64,C+,,,BSC-O,3,3,
MATH 100,,78,B+,,,BSC-O,1,3,
MATH 221,,65,C+,,,BSC-O,2,3,
MATH 101,,69,B-,,,BSC-O,1,3,
PHYS 112,,65,C+,,,BSC-O,1,3,
PHYS 231,,75,B,,,BSC-O,2,3,
PHYS 111,,77,B+,,,BSC-O,1,3,
PHYS 331,,,,,1,BSC-O,3,3,
PHIL 331,,,,,,BSC-O,4,3,
DATA 311,,67,C+,,,BSC-O,3,3,
STAT 230,,78,B+,,,BSC-O,2,3,
COSC 111,,71,B-,,,BSC-O,1,3,
COSC 211,,75,B,,,BSC-O,2,3,
COSC 310,,71,B-,,,BSC-O,3,3,
PHYS 301,,75,B,,,BSC-O,3,3,
PHYS 225,,64,C+,,,BSC-O,2,3,
PHYS 200,,77,B+,,,BSC-O,2,3,
