Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 124,,,,,1,BSC-O,1,3,
COSC 305,,,,,1,BSC-O,3,3,
COSC 449,,,,,,BSC-O,4,3,
COSC 301,,64,C+,,,BSC-O,3,3,
COSC 304,,67,C+,,,BSC-O,3,3,
COSC 121,,76,B+,,,BSC-O,1,3,
COSC 341,,72,B,,,BSC-O,3,3,
COSC 221,,77,B+,,,BSC-O,2,3,
COSC 320,,73,B,,,BSC-O,3,3,
COSC 123,,67,C+,,,BSC-O,1,3,
COSC 222,,66,C+,,,BSC-O,2,3,
COSC 344,,69,B-,,,BSC-O,3,3,
MATH 100,,75,B,,,BSC-O,1,3,
MATH 221,,76,B+,,,BSC-O,2,3,
MATH 101,,74,B,,,BSC-O,1,3,
PHYS 112,,71,B-,,,BSC-O,1,3,
PHYS 231,,64,C+,,,BSC-O,2,3,
PHYS 111,,64,C+,,,BSC-O,1,3,
PHIL 331,,,,,,BSC-O,4,3,
DATA 311,,72,B,,,BSC-O,3,3,
STAT 230,,76,B+,,,BSC-O,2,3,
COSC 111,,77,B+,,,BSC-O,1,3,
COSC 211,,77,B+,,,BSC-O,2,3,
COSC 310,,75,B,,,BSC-O,3,3,
PHYS 225,,65,C+,,,BSC-O,2,3,
