Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
CHEM 111,,75,B,,,BSC-O,1,3,
STAT 303,,81,A-,,,BSC-O,3,3,
MATH 319,,78,B+,,,BSC-O,3,3,
COSC 304,,86,A,,,BSC-O,3,3,
COSC 121,,80,A-,,,BSC-O,1,3,
PHYS 418,,,,,,BSC-O,4,3,
MATH 100,,75,B,,,BSC-O,1,3,
MATH 101,,75,B,,,BSC-O,1,3,
PHYS 215,,75,B,,,BSC-O,2,3,
MATH 200,,73,B,,,BSC-O,2,3,
PHYS 216,,86,A,,,BSC-O,2,3,
PHYS 112,,87,A,,,BSC-O,1,3,
PHYS 231,,80,A-,,,BSC-O,2,3,
PHYS 111,,73,B,,,BSC-O,1,3,
PHYS 232,,83,A-,,,BSC-O,2,3,
CHEM 123,,75,B,,,BSC-O,1,3,
CHEM 121,,74,B,,,BSC-O,1,3,
MATH 327,,74,B,,,BSC-O,3,3,
MATH 307,,75,B,,,BSC-O,3,3,
COSC 111,,74,B,,,BSC-O,1,3,
MATH 215,,73,B,,,BSC-O,2,3,
COSC 310,,,,,1,BSC-O,3,3,
MATH 216,,79,B+,,,BSC-O,2,3,
MATH 231,,80,A-,,,BSC-O,2,3,
MATH 232,,79,B+,,,BSC-O,2,3,
PHYS 328,,84,A-,,,BSC-O,3,3,
PHYS 402,,,,,,BSC-O,4,3,
PHYS 304,,87,A,,,BSC-O,3,3,
MATH 311,,77,B+,,,BSC-O,3,3,
PHYS 301,,85,A,,,BSC-O,3,3,
PHYS 401,,,,,,BSC-O,4,3,
CHEM 113,,80,A-,,,BSC-O,1,3,
PHYS 200,,78,B+,,,BSC-O,2,3,
PHYS 121,,81,A-,,,BSC-O,1,3,
PHYS 122,,75,B,,,BSC-O,1,3,
