Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 124,,,,,1,BSC-O,1,3,
STAT 121,,,,,1,BSC-O,1,3,
CHEM 111,,73,B,,,BSC-O,1,3,
STAT 403,,,,,1,BSC-O,4,3,
STAT 303,,76,B+,,,BSC-O,3,3,
MATH 319,,80,A-,,,BSC-O,3,3,
COSC 121,,74,B,,,BSC-O,1,3,
COSC 122,,,,,1,BSC-O,1,3,
PHYS 418,,83,A-,,,BSC-O,4,3,
COSC 344,,84,A-,,,BSC-O,3,3,
MATH 100,,78,B+,,,BSC-O,1,3,
MATH 101,,87,A,,,BSC-O,1,3,
PHYS 215,,87,A,,,BSC-O,2,3,
MATH 200,,86,A,,,BSC-O,2,3,
PHYS 216,,72,B,,,BSC-O,2,3,
PHYS 112,,85,A,,,BSC-O,1,3,
PHYS 231,,84,A-,,,BSC-O,2,3,
PHYS 111,,86,A,,,BSC-O,1,3,
PHYS 232,,74,B,,,BSC-O,2,3,
PHYS 331,,82,A-,,,BSC-O,3,3,
CHEM 123,,73,B,,,BSC-O,1,3,
CHEM 121,,72,B,,,BSC-O,1,3,
MATH 327,,83,A-,,,BSC-O,3,3,
MATH 307,,82,A-,,,BSC-O,3,3,
COSC 111,,79,B+,,,BSC-O,1,3,
MATH 215,,80,A-,,,BSC-O,2,3,
MATH 216,,78,B+,,,BSC-O,2,3,
MATH 231,,87,A,,,BSC-O,2,3,
MATH 232,,86,A,,,BSC-O,2,3,
PHYS 328,,74,B,,,BSC-O,3,3,
PHYS 402,,75,B,,,BSC-O,4,3,
PHYS 304,,81,A-,,,BSC-O,3,3,
MATH 311,,78,B+,,,BSC-O,3,3,
PHYS 301,,80,A-,,,BSC-O,3,3,
PHYS 401,,77,B+,,,BSC-O,4,3,
CHEM 113,,81,A-,,,BSC-O,1,3,
PHYS 200,,72,B,,,BSC-O,2,3,
PHYS 121,,84,A-,,,BSC-O,1,3,
PHYS 122,,83,A-,,,BSC-O,1,3,
