Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
COSC 305,,86,A,,,BSC-O,3,3,
COSC 449,,,,,,BSC-O,4,3,
COSC 301,,92,A+,,,BSC-O,3,3,
COSC 304,,97,A+,,,BSC-O,3,3,
COSC 121,,91,A+,,,BSC-O,1,3,
COSC 341,,95,A+,,,BSC-O,3,3,
COSC 221,,87,A,,,BSC-O,2,3,
COSC 320,,88,A,,,BSC-O,3,3,
COSC 123,,97,A+,,,BSC-O,1,3,
COSC 222,,87,A,,,BSC-O,2,3,
MATH 100,,99,A+,,,BSC-O,1,3,
MATH 221,,92,A+,,,BSC-O,2,3,
MATH 101,,89,A,,,BSC-O,1,3,
PHYS 112,,100,A+,,,BSC-O,1,3,
PHYS 231,,91,A+,,,BSC-O,2,3,
PHYS 111,,95,A+,,,BSC-O,1,3,
PHYS 331,,,,,1,BSC-O,3,3,
PHIL 331,,,,,,BSC-O,4,3,
STAT 230,,87,A,,,BSC-O,2,3,
COSC 111,,91,A+,,,BSC-O,1,3,
COSC 211,,88,A,,,BSC-O,2,3,
COSC 310,,96,A+,,,BSC-O,3,3,
PHYS 304,,,,,1,BSC-O,3,3,
PHYS 324,,96,A+,,,BSC-O,3,3,
PHYS 225,,99,A+,,,BSC-O,2,3,
