Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 124,,,,,1,BSC-O,1,3,
DATA 101,,73,B,,,BSC-O,1,3,
CHEM 111,,76,B+,,,BSC-O,1,3,
STAT 230,,,,,,BSC-O,2,3,
CHEM 123,,80,A-,,,BSC-O,1,3,
CHEM 121,,84,A-,,,BSC-O,1,3,
COSC 111,,77,B+,,,BSC-O,1,3,
MATH 100,,75,B,,,BSC-O,1,3,
MATH 221,,,,,,BSC-O,2,3,
MATH 101,,74,B,,,BSC-O,1,3,
MATH 200,,,,,,BSC-O,2,3,
PHYS 112,,77,B+,,,BSC-O,1,3,
CHEM 113,,82,A-,,,BSC-O,1,3,
PHYS 121,,73,B,,,BSC-O,1,3,
PHYS 111,,84,A-,,,BSC-O,1,3,
PHYS 122,,72,B,,,BSC-O,1,3,
