Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
DATA 301,,86,A,,,BSC-O,3,3,
STAT 124,,73,B,,,BSC-O,1,3,
STAT 121,,82,A-,,,BSC-O,1,3,
COSC 305,,83,A-,,,BSC-O,3,3,
COSC 301,,85,A,,,BSC-O,3,3,
STAT 303,,86,A,,,BSC-O,3,3,
COSC 304,,80,A-,,,BSC-O,3,3,
COSC 121,,72,B,,,BSC-O,1,3,
COSC 341,,73,B,,,BSC-O,3,3,
COSC 221,,85,A,,,BSC-O,2,3,
COSC 222,,78,B+,,,BSC-O,2,3,
COSC 344,,74,B,,,BSC-O,3,3,
MATH 100,,79,B+,,,BSC-O,1,3,
MATH 221,,77,B+,,,BSC-O,2,3,
MATH 101,,86,A,,,BSC-O,1,3,
MATH 200,,77,B+,,,BSC-O,2,3,
PHYS 112,,79,B+,,,BSC-O,1,3,
PHYS 231,,,,,1,BSC-O,2,3,
PHYS 111,,78,B+,,,BSC-O,1,3,
PHYS 331,,,,,1,BSC-O,3,3,
DATA 311,,77,B+,,,BSC-O,3,3,
PHIL 331,,72,B,,,BSC-O,3,3,
STAT 230,,86,A,,,BSC-O,2,3,
COSC 111,,73,B,,,BSC-O,1,3,
COSC 310,,77,B+,,,BSC-O,3,3,
PHYS 225,,,,,1,BSC-O,2,3,
PHYS 200,,,,,1,BSC-O,2,3,
PHYS 121,,79,B+,,,BSC-O,1,3,
PHYS 122,,81,A-,,,BSC-O,1,3,
