Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
CHEM 111,,55,C-,,,BSC-O,1,3,
CHEM 123,,66,C+,,,BSC-O,1,3,
CHEM 121,,62,C,,,BSC-O,1,3,
COSC 121,,65,C+,,,BSC-O,1,3,
COSC 111,,57,C-,,,BSC-O,1,3,
MATH 215,,,,,,BSC-O,2,3,
MATH 216,,,,,,BSC-O,2,3,
MATH 231,,,,,,BSC-O,2,3,
MATH 100,,61,C,,,BSC-O,1,3,
MATH 232,,,,,,BSC-O,2,3,
MATH 101,,64,C+,,,BSC-O,1,3,
PHYS 215,,,,,,BSC-O,2,3,
MATH 200,,,,,,BSC-O,2,3,
PHYS 216,,,,,,BSC-O,2,3,
PHYS 112,,61,C,,,BSC-O,1,3,
CHEM 113,,59,C-,,,BSC-O,1,3,
PHYS 200,,,,,,BSC-O,2,3,
PHYS 121,,58,C-,,,BSC-O,1,3,
PHYS 231,,,,,,BSC-O,2,3,
PHYS 111,,56,C-,,,BSC-O,1,3,
PHYS 122,,57,C-,,,BSC-O,1,3,
PHYS 232,,,,,,BSC-O,2,3,
