Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
DATA 301,,96,A+,,,BSC-O,3,3,
DATA 421,,,,,,BSC-O,4,3,
DATA 101,,96,A+,,,BSC-O,1,3,
CHEM 111,,95,A+,,,BSC-O,1,3,
STAT 303,,86,A,,,BSC-O,3,3,
COSC 303,,81,A-,,,BSC-O,3,3,
COSC 304,,89,A,,,BSC-O,3,3,
MATH 303,,93,A+,,,BSC-O,3,3,
MATH 100,,92,A+,,,BSC-O,1,3,
MATH 221,,81,A-,,,BSC-O,2,3,
MATH 101,,89,A,,,BSC-O,1,3,
MATH 200,,90,A+,,,BSC-O,2,3,
PHYS 112,,91,A+,,,BSC-O,1,3,
PHYS 111,,96,A+,,,BSC-O,1,3,
DATA 315,,84,A-,,,BSC-O,3,3,
DATA 311,,81,A-,,,BSC-O,3,3,
DATA 410,,,,,,BSC-O,4,3,
STAT 230,,90,A+,,,BSC-O,2,3,
CHEM 123,,83,A-,,,BSC-O,1,3,
CHEM 121,,96,A+,,,BSC-O,1,3,
MATH 307,,95,A+,,,BSC-O,3,3,
COSC 111,,91,A+,,,BSC-O,1,3,
CHEM 113,,94,A+,,,BSC-O,1,3,
DATA 407,,,,,,BSC-O,4,3,
PHYS 420,,,,,,BSC-O,4,3,
PHYS 121,,83,A-,,,BSC-O,1,3,
DATA 405,,,,,,BSC-O,4,3,
PHYS 122,,88,A,,,BSC-O,1,3,
