Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
CHEM 111,,80,A-,,,BSC-O,1,3,
CHEM 123,,74,B,,,BSC-O,1,3,
CHEM 121,,69,B-,,,BSC-O,1,3,
COSC 121,,75,B,,,BSC-O,1,3,
COSC 111,,70,B-,,,BSC-O,1,3,
MATH 215,,,,,,BSC-O,2,3,
MATH 216,,,,,,BSC-O,2,3,
MATH 231,,,,,,BSC-O,2,3,
MATH 100,,76,B+,,,BSC-O,1,3,
MATH 232,,,,,,BSC-O,2,3,
MATH 101,,70,B-,,,BSC-O,1,3,
PHYS 215,,,,,,BSC-O,2,3,
MATH 200,,,,,,BSC-O,2,3,
PHYS 216,,,,,,BSC-O,2,3,
PHYS 112,,81,A-,,,BSC-O,1,3,
CHEM 113,,81,A-,,,BSC-O,1,3,
PHYS 200,,,,,,BSC-O,2,3,
PHYS 121,,67,C+,,,BSC-O,1,3,
PHYS 231,,,,,,BSC-O,2,3,
PHYS 111,,75,B,,,BSC-O,1,3,
PHYS 122,,72,B,,,BSC-O,1,3,
PHYS 232,,,,,,BSC-O,2,3,
