Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 124,,,,,1,BSC-O,1,3,
STAT 121,,,,,1,BSC-O,1,3,
DATA 101,,69,B-,,,BSC-O,1,3,
COSC 305,,67,C+,,,BSC-O,3,3,
COSC 449,,,,,,BSC-O,4,3,
COSC 304,,59,C-,,,BSC-O,3,3,
COSC 121,,55,C-,,,BSC-O,1,3,
COSC 341,,69,B-,,,BSC-O,3,3,
COSC 221,,55,C-,,,BSC-O,2,3,
COSC 320,,66,C+,,,BSC-O,3,3,
COSC 122,,69,B-,,,BSC-O,1,3,
COSC 123,,60,C,,,BSC-O,1,3,
COSC 222,,59,C-,,,BSC-O,2,3,
COSC 344,,54,D,,,BSC-O,3,3,
MATH 100,,58,C-,,,BSC-O,1,3,
MATH 221,,66,C+,,,BSC-O,2,3,
MATH 101,,68,B-,,,BSC-O,1,3,
PHYS 112,,66,C+,,,BSC-O,1,3,
PHYS 231,,55,C-,,,BSC-O,2,3,
PHYS 111,,64,C+,,,BSC-O,1,3,
PHYS 331,,61,C,,,BSC-O,3,3,
PHIL 331,,,,,,BSC-O,4,3,
STAT 230,,62,C,,,BSC-O,2,3,
COSC 111,,63,C,,,BSC-O,1,3,
COSC 211,,56,C-,,,BSC-O,2,3,
COSC 310,,55,C-,,,BSC-O,3,3,
PHYS 304,,65,C+,,,BSC-O,3,3,
PHYS 301,,68,B-,,,BSC-O,3,3,
PHYS 324,,58,C-,,,BSC-O,3,3,
PHYS 225,,55,C-,,,BSC-O,2,3,
PHYS 200,,67,C+,,,BSC-O,2,3,
