Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
DATA 101,,69,B-,,,BSC-O,1,3,
STAT 230,,73,B,,,BSC-O,2,3,
COSC 304,,,,,,BSC-O,3,3,
COSC 121,,77,B+,,,BSC-O,1,3,
COSC 341,,,,,,BSC-O,3,3,
COSC 111,,75,B,,,BSC-O,1,3,
COSC 221,,82,A-,,,BSC-O,2,3,
COSC 320,,,,,,BSC-O,3,3,
COSC 122,,75,B,,,BSC-O,1,3,
COSC 123,,84,A-,,,BSC-O,1,3,
COSC 211,,82,A-,,,BSC-O,2,3,
COSC 222,,74,B,,,BSC-O,2,3,
COSC 310,,,,,,BSC-O,3,3,
MATH 100,,80,A-,,,BSC-O,1,3,
MATH 221,,71,B-,,,BSC-O,2,3,
MATH 101,,79,B+,,,BSC-O,1,3,
PHYS 225,,76,B+,,,BSC-O,2,3,
PHYS 112,,70,B-,,,BSC-O,1,3,
PHYS 200,,79,B+,,,BSC-O,2,3,
PHYS 231,,72,B,,,BSC-O,2,3,
PHYS 111,,78,B+,,,BSC-O,1,3,
