Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
DATA 101,,,,,1,BSC-O,1,3,
CHEM 111,,70,B-,,,BSC-O,1,3,
COSC 305,,74,B,,,BSC-O,3,3,
COSC 301,,78,B+,,,BSC-O,3,3,
STAT 303,,75,B,,,BSC-O,3,3,
MATH 319,,69,B-,,,BSC-O,3,3,
COSC 121,,79,B+,,,BSC-O,1,3,
COSC 341,,,,,1,BSC-O,3,3,
COSC 221,,,,,1,BSC-O,2,3,
PHYS 418,,80,A-,,,BSC-O,4,3,
MATH 100,,72,B,,,BSC-O,1,3,
MATH 101,,84,A-,,,BSC-O,1,3,
PHYS 215,,70,B-,,,BSC-O,2,3,
MATH 200,,75,B,,,BSC-O,2,3,
PHYS 216,,80,A-,,,BSC-O,2,3,
PHYS 112,,76,B+,,,BSC-O,1,3,
PHYS 231,,81,A-,,,BSC-O,2,3,
PHYS 111,,73,B,,,BSC-O,1,3,
PHYS 232,,77,B+,,,BSC-O,2,3,
CHEM 123,,72,B,,,BSC-O,1,3,
CHEM 121,,83,A-,,,BSC-O,1,3,
MATH 327,,78,B+,,,BSC-O,3,3,
MATH 307,,71,B-,,,BSC-O,3,3,
COSC 111,,77,B+,,,BSC-O,1,3,
MATH 215,,77,B+,,,BSC-O,2,3,
MATH 216,,74,B,,,BSC-O,2,3,
MATH 231,,74,B,,,BSC-O,2,3,
MATH 232,,74,B,,,BSC-O,2,3,
PHYS 328,,82,A-,,,BSC-O,3,3,
PHYS 402,,84,A-,,,BSC-O,4,3,
PHYS 304,,77,B+,,,BSC-O,3,3,
MATH 311,,70,B-,,,BSC-O,3,3,
PHYS 301,,72,B,,,BSC-O,3,3,
PHYS 401,,84,A-,,,BSC-O,4,3,
CHEM 113,,70,B-,,,BSC-O,1,3,
PHYS 200,,84,A-,,,BSC-O,2,3,
PHYS 121,,69,B-,,,BSC-O,1,3,
DATA 405,,,,,1,BSC-O,4,3,
PHYS 122,,71,B-,,,BSC-O,1,3,
