Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 124,,,,,1,BSC-O,1,3,
STAT 121,,,,,1,BSC-O,1,3,
DATA 101,,81,A-,,,BSC-O,1,3,
COSC 305,,76,B+,,,BSC-O,3,3,
COSC 449,,76,B+,,,BSC-O,4,3,
STAT 406,,,,,1,BSC-O,4,3,
COSC 301,,75,B,,,BSC-O,3,3,
STAT 303,,,,,1,BSC-O,3,3,
COSC 304,,77,B+,,,BSC-O,3,3,
COSC 121,,80,A-,,,BSC-O,1,3,
COSC 341,,81,A-,,,BSC-O,3,3,
COSC 221,,75,B,,,BSC-O,2,3,
COSC 320,,70,B-,,,BSC-O,3,3,
COSC 122,,75,B,,,BSC-O,1,3,
COSC 123,,71,B-,,,BSC-O,1,3,
COSC 222,,72,B,,,BSC-O,2,3,
MATH 100,,78,B+,,,BSC-O,1,3,
MATH 221,,72,B,,,BSC-O,2,3,
MATH 101,,73,B,,,BSC-O,1,3,
PHYS 112,,71,B-,,,BSC-O,1,3,
PHYS 231,,70,B-,,,BSC-O,2,3,
PHYS 111,,68,B-,,,BSC-O,1,3,
PHYS 331,,69,B-,,,BSC-O,3,3,
PHIL 331,,70,B-,,,BSC-O,4,3,
STAT 230,,73,B,,,BSC-O,2,3,
COSC 111,,77,B+,,,BSC-O,1,3,
COSC 211,,75,B,,,BSC-O,2,3,
COSC 310,,79,B+,,,BSC-O,3,3,
PHYS 304,,75,B,,,BSC-O,3,3,
PHYS 301,,67,C+,,,BSC-O,3,3,
PHYS 324,,81,A-,,,BSC-O,3,3,
PHYS 225,,67,C+,,,BSC-O,2,3,
PHYS 200,,80,A-,,,BSC-O,2,3,
