Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
DATA 301,,63,C,,,BSC-O,3,3,
STAT 124,,57,C-,,,BSC-O,1,3,
STAT 121,,,,,1,BSC-O,1,3,
COSC 305,,61,C,,,BSC-O,3,3,
COSC 301,,61,C,,,BSC-O,3,3,
STAT 303,,69,B-,,,BSC-O,3,3,
COSC 304,,62,C,,,BSC-O,3,3,
COSC 121,,63,C,,,BSC-O,1,3,
COSC 341,,63,C,,,BSC-O,3,3,
COSC 221,,63,C,,,BSC-O,2,3,
COSC 122,,57,C-,,,BSC-O,1,3,
COSC 222,,58,C-,,,BSC-O,2,3,
COSC 344,,61,C,,,BSC-O,3,3,
MATH 100,,70,B-,,,BSC-O,1,3,
MATH 221,,56,C-,,,BSC-O,2,3,
MATH 101,,66,C+,,,BSC-O,1,3,
MATH 200,,70,B-,,,BSC-O,2,3,
PHYS 112,,66,C+,,,BSC-O,1,3,
PHYS 231,,,,,1,BSC-O,2,3,
PHYS 111,,65,C+,,,BSC-O,1,3,
DATA 311,,68,B-,,,BSC-O,3,3,
PHIL 331,,62,C,,,BSC-O,3,3,
STAT 230,,69,B-,,,BSC-O,2,3,
COSC 111,,58,C-,,,BSC-O,1,3,
COSC 310,,69,B-,,,BSC-O,3,3,
PHYS 301,,,,,1,BSC-O,3,3,
PHYS 324,,,,,1,BSC-O,3,3,
PHYS 121,,67,C+,,,BSC-O,1,3,
PHYS 122,,68,B-,,,BSC-O,1,3,
