Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
CHEM 111,,92,A+,,,BSC-O,1,3,
CHEM 123,,94,A+,,,BSC-O,1,3,
CHEM 121,,96,A+,,,BSC-O,1,3,
COSC 121,,89,A,,,BSC-O,1,3,
COSC 111,,97,A+,,,BSC-O,1,3,
MATH 215,,,,,,BSC-O,2,3,
MATH 216,,,,,,BSC-O,2,3,
MATH 231,,,,,,BSC-O,2,3,
MATH 100,,95,A+,,,BSC-O,1,3,
MATH 232,,,,,,BSC-O,2,3,
MATH 101,,94,A+,,,BSC-O,1,3,
PHYS 215,,,,,,BSC-O,2,3,
MATH 200,,,,,,BSC-O,2,3,
PHYS 216,,,,,,BSC-O,2,3,
PHYS 112,,87,A,,,BSC-O,1,3,
CHEM 113,,87,A,,,BSC-O,1,3,
PHYS 200,,,,,,BSC-O,2,3,
PHYS 121,,98,A+,,,BSC-O,1,3,
PHYS 231,,,,,,BSC-O,2,3,
PHYS 111,,93,A+,,,BSC-O,1,3,
PHYS 122,,86,A,,,BSC-O,1,3,
PHYS 232,,,,,,BSC-O,2,3,
