Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 230,,87,A,,,BSC-O,2,3,
COSC 304,,,,,,BSC-O,3,3,
COSC 121,,84,A-,,,BSC-O,1,3,
COSC 341,,,,,,BSC-O,3,3,
COSC 111,,85,A,,,BSC-O,1,3,
COSC 221,,80,A-,,,BSC-O,2,3,
COSC 320,,,,,,BSC-O,3,3,
COSC 123,,80,A-,,,BSC-O,1,3,
COSC 211,,82,A-,,,BSC-O,2,3,
COSC 222,,88,A,,,BSC-O,2,3,
COSC 310,,,,,,BSC-O,3,3,
MATH 100,,88,A,,,BSC-O,1,3,
MATH 221,,83,A-,,,BSC-O,2,3,
MATH 101,,90,A+,,,BSC-O,1,3,
PHYS 112,,90,A+,,,BSC-O,1,3,
PHYS 200,,94,A+,,,BSC-O,2,3,
PHYS 231,,88,A,,,BSC-O,2,3,
PHYS 111,,88,A,,,BSC-O,1,3,
