Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 121,,,,,1,BSC-O,1,3,
COSC 449,,,,,,BSC-O,4,3,
STAT 303,,,,,1,BSC-O,3,3,
COSC 304,,67,C+,,,BSC-O,3,3,
COSC 121,,63,C,,,BSC-O,1,3,
COSC 341,,64,C+,,,BSC-O,3,3,
COSC 221,,65,C+,,,BSC-O,2,3,
COSC 320,,69,B-,,,BSC-O,3,3,
COSC 123,,71,B-,,,BSC-O,1,3,
COSC 222,,64,C+,,,BSC-O,2,3,
MATH 100,,61,C,,,BSC-O,1,3,
MATH 221,,58,C-,,,BSC-O,2,3,
MATH 101,,68,B-,,,BSC-O,1,3,
PHYS 112,,68,B-,,,BSC-O,1,3,
PHYS 231,,57,C-,,,BSC-O,2,3,
PHYS 111,,57,C-,,,BSC-O,1,3,
PHYS 331,,68,B-,,,BSC-O,3,3,
PHIL 331,,,,,,BSC-O,4,3,
STAT 230,,66,C+,,,BSC-O,2,3,
COSC 111,,71,B-,,,BSC-O,1,3,
COSC 211,,72,B,,,BSC-O,2,3,
COSC 310,,70,B-,,,BSC-O,3,3,
PHYS 304,,67,C+,,,BSC-O,3,3,
PHYS 324,,62,C,,,BSC-O,3,3,
PHYS 200,,69,B-,,,BSC-O,2,3,
