Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 124,,80,A-,,,BSC-O,1,3,
DATA 101,,79,B+,,,BSC-O,1,3,
STAT 230,,,,,,BSC-O,2,3,
COSC 121,,73,B,,,BSC-O,1,3,
COSC 111,,72,B,,,BSC-O,1,3,
COSC 221,,,,,,BSC-O,2,3,
COSC 122,,73,B,,,BSC-O,1,3,
COSC 222,,,,,,BSC-O,2,3,
MATH 100,,70,B-,,,BSC-O,1,3,
MATH 221,,,,,,BSC-O,2,3,
MATH 101,,72,B,,,BSC-O,1,3,
MATH 200,,,,,,BSC-O,2,3,
PHYS 112,,77,B+,,,BSC-O,1,3,
PHYS 121,,81,A-,,,BSC-O,1,3,
PHYS 111,,80,A-,,,BSC-O,1,3,
PHYS 122,,81,A-,,,BSC-O,1,3,
