Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 124,,,,,1,BSC-O,1,3,
DATA 101,,,,,1,BSC-O,1,3,
COSC 449,,88,A,,,BSC-O,4,3,
STAT 406,,,,,1,BSC-O,4,3,
STAT 303,,,,,1,BSC-O,3,3,
COSC 304,,78,B+,,,BSC-O,3,3,
COSC 121,,85,A,,,BSC-O,1,3,
COSC 341,,86,A,,,BSC-O,3,3,
COSC 221,,89,A,,,BSC-O,2,3,
COSC 320,,77,B+,,,BSC-O,3,3,
COSC 123,,79,B+,,,BSC-O,1,3,
COSC 222,,90,A+,,,BSC-O,2,3,
COSC 344,,89,A,,,BSC-O,3,3,
MATH 100,,86,A,,,BSC-O,1,3,
MATH 221,,86,A,,,BSC-O,2,3,
MATH 101,,82,A-,,,BSC-O,1,3,
PHYS 112,,86,A,,,BSC-O,1,3,
PHYS 231,,80,A-,,,BSC-O,2,3,
PHYS 111,,81,A-,,,BSC-O,1,3,
PHYS 331,,77,B+,,,BSC-O,3,3,
PHIL 331,,78,B+,,,BSC-O,4,3,
STAT 230,,77,B+,,,BSC-O,2,3,
COSC 111,,82,A-,,,BSC-O,1,3,
COSC 211,,81,A-,,,BSC-O,2,3,
COSC 310,,87,A,,,BSC-O,3,3,
PHYS 324,,82,A-,,,BSC-O,3,3,
PHYS 225,,89,A,,,BSC-O,2,3,
