Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 230,,77,B+,,,BSC-O,2,3,
COSC 304,,,,,,BSC-O,3,3,
COSC 121,,82,A-,,,BSC-O,1,3,
COSC 341,,,,,,BSC-O,3,3,
COSC 111,,81,A-,,,BSC-O,1,3,
COSC 221,,76,B+,,,BSC-O,2,3,
COSC 320,,,,,,BSC-O,3,3,
COSC 122,,76,B+,,,BSC-O,1,3,
COSC 123,,87,A,,,BSC-O,1,3,
COSC 211,,82,A-,,,BSC-O,2,3,
COSC 222,,77,B+,,,BSC-O,2,3,
COSC 310,,,,,,BSC-O,3,3,
MATH 100,,89,A,,,BSC-O,1,3,
MATH 221,,84,A-,,,BSC-O,2,3,
MATH 101,,78,B+,,,BSC-O,1,3,
PHYS 225,,90,A+,,,BSC-O,2,3,
PHYS 112,,89,A,,,BSC-O,1,3,
PHYS 200,,83,A-,,,BSC-O,2,3,
PHYS 231,,90,A+,,,BSC-O,2,3,
PHYS 111,,81,A-,,,BSC-O,1,3,
