Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 124,,,,,1,BSC-O,1,3,
STAT 121,,,,,1,BSC-O,1,3,
DATA 101,,59,C-,,,BSC-O,1,3,
COSC 449,,60,C,,,BSC-O,4,3,
STAT 406,,,,,1,BSC-O,4,3,
COSC 301,,70,B-,,,BSC-O,3,3,
STAT 303,,,,,1,BSC-O,3,3,
COSC 304,,65,C+,,,BSC-O,3,3,
COSC 121,,65,C+,,,BSC-O,1,3,
COSC 341,,65,C+,,,BSC-O,3,3,
COSC 221,,65,C+,,,BSC-O,2,3,
COSC 320,,66,C+,,,BSC-O,3,3,
COSC 122,,60,C,,,BSC-O,1,3,
COSC 123,,72,B,,,BSC-O,1,3,
COSC 222,,60,C,,,BSC-O,2,3,
COSC 344,,66,C+,,,BSC-O,3,3,
MATH 100,,59,C-,,,BSC-O,1,3,
MATH 221,,74,B,,,BSC-O,2,3,
MATH 101,,65,C+,,,BSC-O,1,3,
PHYS 112,,61,C,,,BSC-O,1,3,
PHYS 231,,66,C+,,,BSC-O,2,3,
PHYS 111,,71,B-,,,BSC-O,1,3,
PHYS 331,,68,B-,,,BSC-O,3,3,
PHIL 331,,74,B,,,BSC-O,4,3,
DATA 311,,64,C+,,,BSC-O,3,3,
STAT 230,,59,C-,,,BSC-O,2,3,
COSC 111,,61,C,,,BSC-O,1,3,
COSC 211,,70,B-,,,BSC-O,2,3,
COSC 310,,72,B,,,BSC-O,3,3,
PHYS 304,,68,B-,,,BSC-O,3,3,
PHYS 301,,63,C,,,BSC-O,3,3,
PHYS 324,,59,C-,,,BSC-O,3,3,
PHYS 225,,62,C,,,BSC-O,2,3,
PHYS 200,,73,B,,,BSC-O,2,3,
