Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
CHEM 111,,58,C-,,,BSC-O,1,3,
STAT 303,,,,,,BSC-O,3,3,
MATH 319,,,,,,BSC-O,3,3,
COSC 121,,60,C,,,BSC-O,1,3,
MATH 100,,67,C+,,,BSC-O,1,3,
MATH 101,,73,B,,,BSC-O,1,3,
PHYS 215,,59,C-,,,BSC-O,2,3,
MATH 200,,73,B,,,BSC-O,2,3,
PHYS 216,,58,C-,,,BSC-O,2,3,
PHYS 112,,59,C-,,,BSC-O,1,3,
PHYS 231,,60,C,,,BSC-O,2,3,
PHYS 111,,61,C,,,BSC-O,1,3,
PHYS 232,,64,C+,,,BSC-O,2,3,
CHEM 123,,70,B-,,,BSC-O,1,3,
CHEM 121,,63,C,,,BSC-O,1,3,
MATH 327,,,,,,BSC-O,3,3,
MATH 307,,,,,,BSC-O,3,3,
COSC 111,,62,C,,,BSC-O,1,3,
MATH 215,,61,C,,,BSC-O,2,3,
MATH 216,,68,B-,,,BSC-O,2,3,
MATH 231,,66,C+,,,BSC-O,2,3,
MATH 232,,58,C-,,,BSC-O,2,3,
PHYS 328,,,,,,BSC-O,3,3,
PHYS 304,,,,,,BSC-O,3,3,
MATH 311,,,,,,BSC-O,3,3,
PHYS 301,,,,,,BSC-O,3,3,
CHEM 113,,72,B,,,BSC-O,1,3,
PHYS 200,,58,C-,,,BSC-O,2,3,
PHYS 121,,68,B-,,,BSC-O,1,3,
PHYS 122,,60,C,,,BSC-O,1,3,
