Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
DATA 101,,,,,1,BSC-O,1,3,
CHEM 111,,69,B-,,,BSC-O,1,3,
COSC 305,,76,B+,,,BSC-O,3,3,
STAT 303,,81,A-,,,BSC-O,3,3,
MATH 319,,76,B+,,,BSC-O,3,3,
COSC 121,,68,B-,,,BSC-O,1,3,
PHYS 418,,,,,,BSC-O,4,3,
MATH 100,,83,A-,,,BSC-O,1,3,
MATH 101,,73,B,,,BSC-O,1,3,
PHYS 215,,70,B-,,,BSC-O,2,3,
MATH 200,,80,A-,,,BSC-O,2,3,
PHYS 216,,83,A-,,,BSC-O,2,3,
PHYS 112,,70,B-,,,BSC-O,1,3,
PHYS 231,,81,A-,,,BSC-O,2,3,
PHYS 111,,75,B,,,BSC-O,1,3,
PHYS 232,,75,B,,,BSC-O,2,3,
PHYS 331,,80,A-,,,BSC-O,3,3,
CHEM 123,,82,A-,,,BSC-O,1,3,
CHEM 121,,74,B,,,BSC-O,1,3,
MATH 327,,83,A-,,,BSC-O,3,3,
MATH 307,,74,B,,,BSC-O,3,3,
COSC 111,,74,B,,,BSC-O,1,3,
MATH 215,,68,B-,,,BSC-O,2,3,
MATH 216,,80,A-,,,BSC-O,2,3,
MATH 231,,68,B-,,,BSC-O,2,3,
MATH 232,,76,B+,,,BSC-O,2,3,
PHYS 328,,79,B+,,,BSC-O,3,3,
PHYS 402,,,,,,BSC-O,4,3,
PHYS 304,,79,B+,,,BSC-O,3,3,
MATH 311,,83,A-,,,BSC-O,3,3,
PHYS 301,,74,B,,,BSC-O,3,3,
PHYS 401,,,,,,BSC-O,4,3,
PHYS 225,,73,B,,,BSC-O,2,3,
PHYS 324,,73,B,,,BSC-O,3,3,
CHEM 113,,81,A-,,,BSC-O,1,3,
PHYS 200,,77,B+,,,BSC-O,2,3,
PHYS 121,,79,B+,,,BSC-O,1,3,
PHYS 122,,77,B+,,,BSC-O,1,3,
