Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 124,,,,,1,BSC-O,1,3,
STAT 121,,,,,1,BSC-O,1,3,
DATA 101,,65,C+,,,BSC-O,1,3,
COSC 305,,59,C-,,,BSC-O,3,3,
COSC 449,,63,C,,,BSC-O,4,3,
STAT 403,,,,,1,BSC-O,4,3,
COSC 301,,68,B-,,,BSC-O,3,3,
STAT 303,,,,,1,BSC-O,3,3,
COSC 304,,63,C,,,BSC-O,3,3,
COSC 121,,60,C,,,BSC-O,1,3,
COSC 341,,61,C,,,BSC-O,3,3,
COSC 221,,69,B-,,,BSC-O,2,3,
COSC 320,,72,B,,,BSC-O,3,3,
COSC 122,,60,C,,,BSC-O,1,3,
COSC 123,,61,C,,,BSC-O,1,3,
COSC 222,,64,C+,,,BSC-O,2,3,
COSC 344,,67,C+,,,BSC-O,3,3,
MATH 100,,68,B-,,,BSC-O,1,3,
MATH 221,,62,C,,,BSC-O,2,3,
MATH 101,,64,C+,,,BSC-O,1,3,
PHYS 112,,73,B,,,BSC-O,1,3,
PHYS 231,,65,C+,,,BSC-O,2,3,
PHYS 111,,71,B-,,,BSC-O,1,3,
PHIL 331,,64,C+,,,BSC-O,4,3,
DATA 311,,62,C,,,BSC-O,3,3,
STAT 230,,66,C+,,,BSC-O,2,3,
COSC 111,,68,B-,,,BSC-O,1,3,
COSC 211,,60,C,,,BSC-O,2,3,
COSC 310,,73,B,,,BSC-O,3,3,
PHYS 304,,60,C,,,BSC-O,3,3,
PHYS 301,,59,C-,,,BSC-O,3,3,
PHYS 324,,63,C,,,BSC-O,3,3,
PHYS 225,,60,C,,,BSC-O,2,3,
PHYS 200,,64,C+,,,BSC-O,2,3,
