Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 124,,,,,1,BSC-O,1,3,
CHEM 111,,87,A,,,BSC-O,1,3,
STAT 303,,89,A,,,BSC-O,3,3,
MATH 319,,88,A,,,BSC-O,3,3,
COSC 121,,78,B+,,,BSC-O,1,3,
PHYS 418,,,,,,BSC-O,4,3,
MATH 100,,82,A-,,,BSC-O,1,3,
MATH 101,,92,A+,,,BSC-O,1,3,
PHYS 215,,78,B+,,,BSC-O,2,3,
MATH 200,,90,A+,,,BSC-O,2,3,
PHYS 216,,78,B+,,,BSC-O,2,3,
PHYS 112,,87,A,,,BSC-O,1,3,
PHYS 231,,92,A+,,,BSC-O,2,3,
PHYS 111,,77,B+,,,BSC-O,1,3,
PHYS 232,,90,A+,,,BSC-O,2,3,
CHEM 123,,86,A,,,BSC-O,1,3,
CHEM 121,,77,B+,,,BSC-O,1,3,
MATH 327,,85,A,,,BSC-O,3,3,
MATH 307,,82,A-,,,BSC-O,3,3,
COSC 111,,79,B+,,,BSC-O,1,3,
MATH 215,,83,A-,,,BSC-O,2,3,
MATH 216,,88,A,,,BSC-O,2,3,
MATH 231,,79,B+,,,BSC-O,2,3,
MATH 232,,81,A-,,,BSC-O,2,3,
PHYS 328,,79,B+,,,BSC-O,3,3,
PHYS 402,,,,,,BSC-O,4,3,
PHYS 304,,91,A+,,,BSC-O,3,3,
MATH 311,,80,A-,,,BSC-O,3,3,
PHYS 301,,92,A+,,,BSC-O,3,3,
PHYS 401,,,,,,BSC-O,4,3,
CHEM 113,,83,A-,,,BSC-O,1,3,
PHYS 200,,83,A-,,,BSC-O,2,3,
PHYS 121,,80,A-,,,BSC-O,1,3,
PHYS 122,,90,A+,,,BSC-O,1,3,
