Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 124,,,,,1,BSC-O,1,3,
CHEM 111,,74,B,,,BSC-O,1,3,
STAT 303,,77,B+,,,BSC-O,3,3,
MATH 319,,78,B+,,,BSC-O,3,3,
COSC 304,,,,,1,BSC-O,3,3,
COSC 121,,77,B+,,,BSC-O,1,3,
COSC 222,,,,,1,BSC-O,2,3,
PHYS 418,,83,A-,,,BSC-O,4,3,
COSC 344,,84,A-,,,BSC-O,3,3,
MATH 100,,76,B+,,,BSC-O,1,3,
MATH 101,,82,A-,,,BSC-O,1,3,
PHYS 215,,80,A-,,,BSC-O,2,3,
MATH 200,,75,B,,,BSC-O,2,3,
PHYS 216,,71,B-,,,BSC-O,2,3,
PHYS 112,,71,B-,,,BSC-O,1,3,
PHYS 231,,72,B,,,BSC-O,2,3,
PHYS 111,,83,A-,,,BSC-O,1,3,
PHYS 232,,77,B+,,,BSC-O,2,3,
PHYS 331,,79,B+,,,BSC-O,3,3,
DATA 311,,,,,1,BSC-O,3,3,
CHEM 123,,81,A-,,,BSC-O,1,3,
CHEM 121,,80,A-,,,BSC-O,1,3,
MATH 327,,82,A-,,,BSC-O,3,3,
MATH 307,,81,A-,,,BSC-O,3,3,
COSC 111,,75,B,,,BSC-O,1,3,
MATH 215,,83,A-,,,BSC-O,2,3,
MATH 216,,80,A-,,,BSC-O,2,3,
MATH 231,,80,A-,,,BSC-O,2,3,
MATH 232,,84,A-,,,BSC-O,2,3,
PHYS 328,,81,A-,,,BSC-O,3,3,
PHYS 402,,80,A-,,,BSC-O,4,3,
PHYS 304,,70,B-,,,BSC-O,3,3,
MATH 311,,81,A-,,,BSC-O,3,3,
PHYS 301,,70,B-,,,BSC-O,3,3,
PHYS 401,,81,A-,,,BSC-O,4,3,
CHEM 113,,84,A-,,,BSC-O,1,3,
PHYS 200,,72,B,,,BSC-O,2,3,
PHYS 121,,78,B+,,,BSC-O,1,3,
PHYS 122,,74,B,,,BSC-O,1,3,
