Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
CHEM 111,,81,A-,,,BSC-O,1,3,
STAT 303,,,,,,BSC-O,3,3,
MATH 319,,,,,,BSC-O,3,3,
COSC 121,,90,A+,,,BSC-O,1,3,
COSC 221,,89,A,,,BSC-O,2,3,
MATH 100,,80,A-,,,BSC-O,1,3,
MATH 101,,91,A+,,,BSC-O,1,3,
PHYS 215,,81,A-,,,BSC-O,2,3,
MATH 200,,79,B+,,,BSC-O,2,3,
PHYS 216,,78,B+,,,BSC-O,2,3,
PHYS 112,,81,A-,,,BSC-O,1,3,
PHYS 231,,88,A,,,BSC-O,2,3,
PHYS 111,,90,A+,,,BSC-O,1,3,
PHYS 232,,80,A-,,,BSC-O,2,3,
CHEM 123,,89,A,,,BSC-O,1,3,
CHEM 121,,79,B+,,,BSC-O,1,3,
MATH 327,,,,,,BSC-O,3,3,
MATH 307,,,,,,BSC-O,3,3,
COSC 111,,85,A,,,BSC-O,1,3,
MATH 215,,78,B+,,,BSC-O,2,3,
MATH 216,,87,A,,,BSC-O,2,3,
MATH 231,,83,A-,,,BSC-O,2,3,
MATH 232,,88,A,,,BSC-O,2,3,
PHYS 328,,,,,,BSC-O,3,3,
PHYS 304,,,,,,BSC-O,3,3,
MATH 311,,,,,,BSC-O,3,3,
PHYS 301,,,,,,BSC-O,3,3,
CHEM 113,,79,B+,,,BSC-O,1,3,
PHYS 200,,76,B+,,,BSC-O,2,3,
PHYS 121,,83,A-,,,BSC-O,1,3,
PHYS 122,,88,A,,,BSC-O,1,3,
