Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
DATA 301,,64,C+,,,BSC-O,3,3,
DATA 421,,,,,,BSC-O,4,3,
DATA 101,,66,C+,,,BSC-O,1,3,
CHEM 111,,66,C+,,,BSC-O,1,3,
STAT 303,,67,C+,,,BSC-O,3,3,
COSC 303,,70,B-,,,BSC-O,3,3,
COSC 304,,68,B-,,,BSC-O,3,3,
MATH 303,,63,C,,,BSC-O,3,3,
MATH 100,,62,C,,,BSC-O,1,3,
MATH 221,,73,B,,,BSC-O,2,3,
MATH 101,,70,B-,,,BSC-O,1,3,
MATH 200,,61,C,,,BSC-O,2,3,
PHYS 112,,67,C+,,,BSC-O,1,3,
PHYS 111,,73,B,,,BSC-O,1,3,
DATA 315,,72,B,,,BSC-O,3,3,
DATA 311,,60,C,,,BSC-O,3,3,
DATA 410,,,,,,BSC-O,4,3,
STAT 230,,72,B,,,BSC-O,2,3,
CHEM 123,,62,C,,,BSC-O,1,3,
CHEM 121,,68,B-,,,BSC-O,1,3,
MATH 307,,67,C+,,,BSC-O,3,3,
COSC 111,,60,C,,,BSC-O,1,3,
CHEM 113,,66,C+,,,BSC-O,1,3,
DATA 407,,,,,,BSC-O,4,3,
PHYS 420,,,,,,BSC-O,4,3,
PHYS 121,,64,C+,,,BSC-O,1,3,
DATA 405,,,,,,BSC-O,4,3,
PHYS 122,,68,B-,,,BSC-O,1,3,
