Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 121,,,,,1,BSC-O,1,3,
DATA 101,,60,C,,,BSC-O,1,3,
CHEM 111,,58,C-,,,BSC-O,1,3,
STAT 230,,,,,,BSC-O,2,3,
CHEM 123,,55,C-,,,BSC-O,1,3,
CHEM 121,,55,C-,,,BSC-O,1,3,
COSC 111,,57,C-,,,BSC-O,1,3,
MATH 100,,70,B-,,,BSC-O,1,3,
MATH 221,,,,,,BSC-O,2,3,
MATH 101,,61,C,,,BSC-O,1,3,
MATH 200,,,,,,BSC-O,2,3,
PHYS 112,,67,C+,,,BSC-O,1,3,
CHEM 113,,57,C-,,,BSC-O,1,3,
PHYS 121,,64,C+,,,BSC-O,1,3,
PHYS 111,,62,C,,,BSC-O,1,3,
PHYS 122,,57,C-,,,BSC-O,1,3,
