Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 124,,,,,1,BSC-O,1,3,
STAT 121,,,,,1,BSC-O,1,3,
DATA 101,,93,A+,,,BSC-O,1,3,
COSC 305,,97,A+,,,BSC-O,3,3,
COSC 449,,,,,,BSC-O,4,3,
COSC 301,,94,A+,,,BSC-O,3,3,
COSC 304,,91,A+,,,BSC-O,3,3,
COSC 121,,90,A+,,,BSC-O,1,3,
COSC 341,,96,A+,,,BSC-O,3,3,
COSC 221,,85,A,,,BSC-O,2,3,
COSC 320,,88,A,,,BSC-O,3,3,
COSC 122,,89,A,,,BSC-O,1,3,
COSC 123,,92,A+,,,BSC-O,1,3,
COSC 222,,94,A+,,,BSC-O,2,3,
COSC 344,,97,A+,,,BSC-O,3,3,
MATH 100,,84,A-,,,BSC-O,1,3,
MATH 221,,93,A+,,,BSC-O,2,3,
MATH 101,,84,A-,,,BSC-O,1,3,
PHYS 112,,95,A+,,,BSC-O,1,3,
PHYS 231,,97,A+,,,BSC-O,2,3,
PHYS 111,,86,A,,,BSC-O,1,3,
PHIL 331,,,,,,BSC-O,4,3,
DATA 311,,91,A+,,,BSC-O,3,3,
STAT 230,,88,A,,,BSC-O,2,3,
COSC 111,,91,A+,,,BSC-O,1,3,
COSC 211,,95,A+,,,BSC-O,2,3,
COSC 310,,88,A,,,BSC-O,3,3,
PHYS 225,,86,A,,,BSC-O,2,3,
PHYS 324,,92,A+,,,BSC-O,3,3,
PHYS 200,,91,A+,,,BSC-O,2,3,
