Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
DATA 101,,68,B-,,,BSC-O,1,3,
STAT 230,,78,B+,,,BSC-O,2,3,
COSC 304,,,,,,BSC-O,3,3,
COSC 121,,67,C+,,,BSC-O,1,3,
COSC 341,,,,,,BSC-O,3,3,
COSC 111,,81,A-,,,BSC-O,1,3,
COSC 221,,67,C+,,,BSC-O,2,3,
COSC 320,,,,,,BSC-O,3,3,
COSC 122,,82,A-,,,BSC-O,1,3,
COSC 123,,75,B,,,BSC-O,1,3,
COSC 211,,78,B+,,,BSC-O,2,3,
COSC 222,,76,B+,,,BSC-O,2,3,
COSC 310,,,,,,BSC-O,3,3,
MATH 100,,73,B,,,BSC-O,1,3,
MATH 221,,68,B-,,,BSC-O,2,3,
MATH 101,,82,A-,,,BSC-O,1,3,
PHYS 225,,82,A-,,,BSC-O,2,3,
PHYS 112,,71,B-,,,BSC-O,1,3,
PHYS 200,,75,B,,,BSC-O,2,3,
PHYS 231,,74,B,,,BSC-O,2,3,
PHYS 111,,74,B,,,BSC-O,1,3,
