Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
DATA 301,,,,,,BSC-O,3,3,
DATA 311,,,,,,BSC-O,3,3,
PHIL 331,,,,,,BSC-O,3,3,
STAT 230,,87,A,,,BSC-O,2,3,
STAT 303,,,,,,BSC-O,3,3,
COSC 304,,,,,,BSC-O,3,3,
COSC 121,,76,B+,,,BSC-O,1,3,
COSC 111,,78,B+,,,BSC-O,1,3,
COSC 221,,74,B,,,BSC-O,2,3,
COSC 222,,84,A-,,,BSC-O,2,3,
MATH 100,,83,A-,,,BSC-O,1,3,
MATH 221,,83,A-,,,BSC-O,2,3,
MATH 101,,84,A-,,,BSC-O,1,3,
MATH 200,,80,A-,,,BSC-O,2,3,
PHYS 112,,77,B+,,,BSC-O,1,3,
PHYS 121,,82,A-,,,BSC-O,1,3,
PHYS 111,,87,A,,,BSC-O,1,3,
PHYS 122,,72,B,,,BSC-O,1,3,
