Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 124,,,,,1,BSC-O,1,3,
CHEM 111,,90,A+,,,BSC-O,1,3,
STAT 303,,87,A,,,BSC-O,3,3,
MATH 319,,93,A+,,,BSC-O,3,3,
COSC 121,,93,A+,,,BSC-O,1,3,
COSC 341,,95,A+,,,BSC-O,3,3,
COSC 221,,85,A,,,BSC-O,2,3,
PHYS 418,,,,,,BSC-O,4,3,
COSC 344,,94,A+,,,BSC-O,3,3,
MATH 100,,83,A-,,,BSC-O,1,3,
MATH 101,,80,A-,,,BSC-O,1,3,
PHYS 215,,88,A,,,BSC-O,2,3,
MATH 200,,92,A+,,,BSC-O,2,3,
PHYS 216,,95,A+,,,BSC-O,2,3,
PHYS 112,,83,A-,,,BSC-O,1,3,
PHYS 231,,94,A+,,,BSC-O,2,3,
PHYS 111,,85,A,,,BSC-O,1,3,
PHYS 232,,80,A-,,,BSC-O,2,3,
CHEM 123,,86,A,,,BSC-O,1,3,
CHEM 121,,89,A,,,BSC-O,1,3,
MATH 327,,81,A-,,,BSC-O,3,3,
MATH 307,,80,A-,,,BSC-O,3,3,
COSC 111,,81,A-,,,BSC-O,1,3,
MATH 215,,86,A,,,BSC-O,2,3,
MATH 216,,83,A-,,,BSC-O,2,3,
MATH 231,,93,A+,,,BSC-O,2,3,
MATH 232,,88,A,,,BSC-O,2,3,
PHYS 328,,84,A-,,,BSC-O,3,3,
PHYS 402,,,,,,BSC-O,4,3,
PHYS 304,,92,A+,,,BSC-O,3,3,
MATH 311,,85,A,,,BSC-O,3,3,
PHYS 301,,91,A+,,,BSC-O,3,3,
PHYS 401,,,,,,BSC-O,4,3,
PHYS 324,,95,A+,,,BSC-O,3,3,
CHEM 113,,89,A,,,BSC-O,1,3,
PHYS 200,,94,A+,,,BSC-O,2,3,
PHYS 121,,89,A,,,BSC-O,1,3,
PHYS 122,,83,A-,,,BSC-O,1,3,
