Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
DATA 301,,,,,,BSC-O,3,3,
DATA 311,,,,,,BSC-O,3,3,
DATA 101,,76,B+,,,BSC-O,1,3,
CHEM 111,,78,B+,,,BSC-O,1,3,
STAT 230,,74,B,,,BSC-O,2,3,
CHEM 123,,74,B,,,BSC-O,1,3,
CHEM 121,,75,B,,,BSC-O,1,3,
STAT 303,,,,,,BSC-O,3,3,
MATH 307,,,,,,BSC-O,3,3,
COSC 303,,,,,,BSC-O,3,3,
COSC 304,,,,,,BSC-O,3,3,
COSC 111,,79,B+,,,BSC-O,1,3,
MATH 303,,,,,,BSC-O,3,3,
MATH 100,,75,B,,,BSC-O,1,3,
MATH 221,,68,B-,,,BSC-O,2,3,
MATH 101,,69,B-,,,BSC-O,1,3,
MATH 200,,71,B-,,,BSC-O,2,3,
PHYS 112,,78,B+,,,BSC-O,1,3,
CHEM 113,,76,B+,,,BSC-O,1,3,
PHYS 121,,71,B-,,,BSC-O,1,3,
PHYS 111,,78,B+,,,BSC-O,1,3,
PHYS 122,,77,B+,,,BSC-O,1,3,
DATA 315,,,,,,BSC-O,3,3,
