Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
DATA 101,,74,B,,,BSC-O,1,3,
STAT 230,,64,C+,,,BSC-O,2,3,
COSC 304,,,,,,BSC-O,3,3,
COSC 121,,66,C+,,,BSC-O,1,3,
COSC 341,,,,,,BSC-O,3,3,
COSC 111,,70,B-,,,BSC-O,1,3,
COSC 221,,65,C+,,,BSC-O,2,3,
COSC 320,,,,,,BSC-O,3,3,
COSC 122,,61,C,,,BSC-O,1,3,
COSC 123,,70,B-,,,BSC-O,1,3,
COSC 211,,71,B-,,,BSC-O,2,3,
COSC 222,,60,C,,,BSC-O,2,3,
COSC 310,,,,,,BSC-O,3,3,
MATH 100,,71,B-,,,BSC-O,1,3,
MATH 221,,69,B-,,,BSC-O,2,3,
MATH 101,,64,C+,,,BSC-O,1,3,
PHYS 225,,74,B,,,BSC-O,2,3,
PHYS 112,,62,C,,,BSC-O,1,3,
PHYS 200,,62,C,,,BSC-O,2,3,
PHYS 231,,60,C,,,BSC-O,2,3,
PHYS 111,,61,C,,,BSC-O,1,3,
