Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
DATA 101,,,,,1,BSC-O,1,3,
COSC 305,,84,A-,,,BSC-O,3,3,
COSC 449,,79,B+,,,BSC-O,4,3,
COSC 304,,75,B,,,BSC-O,3,3,
COSC 121,,83,A-,,,BSC-O,1,3,
COSC 341,,82,A-,,,BSC-O,3,3,
COSC 221,,81,A-,,,BSC-O,2,3,
COSC 320,,81,A-,,,BSC-O,3,3,
COSC 122,,,,,1,BSC-O,1,3,
COSC 123,,87,A,,,BSC-O,1,3,
COSC 222,,87,A,,,BSC-O,2,3,
MATH 100,,83,A-,,,BSC-O,1,3,
MATH 221,,77,B+,,,BSC-O,2,3,
MATH 101,,85,A,,,BSC-O,1,3,
PHYS 112,,79,B+,,,BSC-O,1,3,
PHYS 111,,89,A,,,BSC-O,1,3,
PHYS 331,,,,,1,BSC-O,3,3,
PHIL 331,,86,A,,,BSC-O,4,3,
DATA 311,,84,A-,,,BSC-O,3,3,
STAT 230,,74,B,,,BSC-O,2,3,
COSC 111,,88,A,,,BSC-O,1,3,
COSC 211,,83,A-,,,BSC-O,2,3,
COSC 310,,81,A-,,,BSC-O,3,3,
PHYS 304,,,,,1,BSC-O,3,3,
PHYS 301,,89,A,,,BSC-O,3,3,
PHYS 225,,75,B,,,BSC-O,2,3,
PHYS 200,,81,A-,,,BSC-O,2,3,
