Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
STAT 121,,,,,1,BSC-O,1,3,
CHEM 111,,85,A,,,BSC-O,1,3,
STAT 303,,84,A-,,,BSC-O,3,3,
MATH 319,,80,A-,,,BSC-O,3,3,
COSC 121,,89,A,,,BSC-O,1,3,
COSC 122,,,,,1,BSC-O,1,3,
PHYS 418,,77,B+,,,BSC-O,4,3,
MATH 100,,79,B+,,,BSC-O,1,3,
MATH 101,,82,A-,,,BSC-O,1,3,
PHYS 215,,85,A,,,BSC-O,2,3,
MATH 200,,85,A,,,BSC-O,2,3,
PHYS 216,,77,B+,,,BSC-O,2,3,
PHYS 112,,83,A-,,,BSC-O,1,3,
PHYS 231,,91,A+,,,BSC-O,2,3,
PHYS 111,,90,A+,,,BSC-O,1,3,
PHYS 232,,89,A,,,BSC-O,2,3,
PHYS 331,,,,,1,BSC-O,3,3,
STAT 230,,,,,1,BSC-O,2,3,
CHEM 123,,90,A+,,,BSC-O,1,3,
CHEM 121,,85,A,,,BSC-O,1,3,
MATH 327,,84,A-,,,BSC-O,3,3,
MATH 307,,80,A-,,,BSC-O,3,3,
COSC 111,,84,A-,,,BSC-O,1,3,
MATH 215,,84,A-,,,BSC-O,2,3,
MATH 216,,86,A,,,BSC-O,2,3,
MATH 231,,77,B+,,,BSC-O,2,3,
MATH 232,,77,B+,,,BSC-O,2,3,
PHYS 328,,83,A-,,,BSC-O,3,3,
PHYS 402,,84,A-,,,BSC-O,4,3,
PHYS 304,,92,A+,,,BSC-O,3,3,
MATH 311,,84,A-,,,BSC-O,3,3,
PHYS 301,,80,A-,,,BSC-O,3,3,
PHYS 401,,87,A,,,BSC-O,4,3,
CHEM 113,,86,A,,,BSC-O,1,3,
PHYS 200,,89,A,,,BSC-O,2,3,
PHYS 121,,81,A-,,,BSC-O,1,3,
PHYS 122,,82,A-,,,BSC-O,1,3,
