Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
DATA 301,,,,,,BSC-O,3,3,
DATA 311,,,,,,BSC-O,3,3,
PHIL 331,,,,,,BSC-O,3,3,
STAT 121,,68,B-,,,BSC-O,1,3,
DATA 101,,67,C+,,,BSC-O,1,3,
STAT 230,,60,C,,,BSC-O,2,3,
STAT 303,,,,,,BSC-O,3,3,
COSC 304,,,,,,BSC-O,3,3,
COSC 121,,63,C,,,BSC-O,1,3,
COSC 111,,58,C-,,,BSC-O,1,3,
COSC 221,,65,C+,,,BSC-O,2,3,
COSC 122,,68,B-,,,BSC-O,1,3,
COSC 222,,71,B-,,,BSC-O,2,3,
MATH 100,,62,C,,,BSC-O,1,3,
MATH 221,,57,C-,,,BSC-O,2,3,
MATH 101,,69,B-,,,BSC-O,1,3,
MATH 200,,71,B-,,,BSC-O,2,3,
PHYS 112,,66,C+,,,BSC-O,1,3,
PHYS 121,,56,C-,,,BSC-O,1,3,
PHYS 111,,67,C+,,,BSC-O,1,3,
PHYS 122,,70,B-,,,BSC-O,1,3,
