Course,Section,Grade,Letter,Session,Term,Program,Year,Credits Earned,Standing
DATA 301,,,,,,BSC-O,3,3,
DATA 311,,,,,,BSC-O,3,3,
DATA 101,,93,A+,,,BSC-O,1,3,
CHEM 111,,88,A,,,BSC-O,1,3,
STAT 230,,96,A+,,,BSC-O,2,3,
CHEM 123,,91,A+,,,BSC-O,1,3,
CHEM 121,,96,A+,,,BSC-O,1,3,
STAT 303,,,,,,BSC-O,3,3,
MATH 307,,,,,,BSC-O,3,3,
COSC 303,,,,,,BSC-O,3,3,
COSC 304,,,,,,BSC-O,3,3,
COSC 111,,93,A+,,,BSC-O,1,3,
MATH 303,,,,,,BSC-O,3,3,
MATH 100,,100,A+,,,BSC-O,1,3,
MATH 221,,92,A+,,,BSC-O,2,3,
MATH 101,,87,A,,,BSC-O,1,3,
MATH 200,,89,A,,,BSC-O,2,3,
PHYS 112,,90,A+,,,BSC-O,1,3,
CHEM 113,,98,A+,,,BSC-O,1,3,
PHYS 121,,100,A+,,,BSC-O,1,3,
PHYS 111,,93,A+,,,BSC-O,1,3,
PHYS 122,,97,A+,,,BSC-O,1,3,
DATA 315,,,,,,BSC-O,3,3,
